Deck A,Deck B,Different,Same,Jaccard,,
Grixis Control,Painter,129.5,10.25,0.073345259,"{""source"": ""Grixis Control"", ""target"": ""Painter"", ""value"":0.07334525939177101},","{""source"": ""Grixis Control"", ""target"": ""Painter"", ""value"":0.005379527075246174},"
Grixis Control,Pikula,126,12,0.086956522,"{""source"": ""Grixis Control"", ""target"": ""Pikula"", ""value"":0.08695652173913043},","{""source"": ""Grixis Control"", ""target"": ""Pikula"", ""value"":0.007561436672967863},"
Grixis Control,Reanimator,120.4166667,14.875,0.109947644,"{""source"": ""Grixis Control"", ""target"": ""Reanimator"", ""value"":0.10994764397878676},","{""source"": ""Grixis Control"", ""target"": ""Reanimator"", ""value"":0.012088484416486044},"
Grixis Control,Slivers,141.25,4.375,0.030042918,"{""source"": ""Grixis Control"", ""target"": ""Slivers"", ""value"":0.030042918454935622},","{""source"": ""Grixis Control"", ""target"": ""Slivers"", ""value"":0.0009025769492899114},"
Grixis Control,Sneak & Show,95.90384615,27.08653846,0.220232976,"{""source"": ""Grixis Control"", ""target"": ""Sneak & Show"", ""value"":0.22023297633038103},","{""source"": ""Grixis Control"", ""target"": ""Sneak & Show"", ""value"":0.04850256386333817},"
Grixis Control,Stoneblade,95.55,27.225,0.221747098,"{""source"": ""Grixis Control"", ""target"": ""Stoneblade"", ""value"":0.22174709835064144},","{""source"": ""Grixis Control"", ""target"": ""Stoneblade"", ""value"":0.049171775626929044},"
Grixis Control,Storm,97.61111111,26.19444444,0.211577294,"{""source"": ""Grixis Control"", ""target"": ""Storm"", ""value"":0.21157729414482046},","{""source"": ""Grixis Control"", ""target"": ""Storm"", ""value"":0.04476495139764388},"
Grixis Control,UR Delver,86.65,31.675,0.267694908,"{""source"": ""Grixis Control"", ""target"": ""UR Delver"", ""value"":0.267694908092119},","{""source"": ""Grixis Control"", ""target"": ""UR Delver"", ""value"":0.07166056381844803},"
Grixis Control,UWx Control,90.8125,29.625,0.245978204,"{""source"": ""Grixis Control"", ""target"": ""UWx Control"", ""value"":0.2459782044628957},","{""source"": ""Grixis Control"", ""target"": ""UWx Control"", ""value"":0.06050527707079012},"
Grixis Control,Zombie Bombardment,115.25,17.375,0.131008483,"{""source"": ""Grixis Control"", ""target"": ""Zombie Bombardment"", ""value"":0.13100848256361922},","{""source"": ""Grixis Control"", ""target"": ""Zombie Bombardment"", ""value"":0.01716322250362212},"
Grixis Delver,Humans,137.5,6.25,0.043478261,"{""source"": ""Grixis Delver"", ""target"": ""Humans"", ""value"":0.043478260869565216},","{""source"": ""Grixis Delver"", ""target"": ""Humans"", ""value"":0.0018903591682419658},"
Grixis Delver,Infect,108.5,21,0.162162162,"{""source"": ""Grixis Delver"", ""target"": ""Infect"", ""value"":0.16216216216216217},","{""source"": ""Grixis Delver"", ""target"": ""Infect"", ""value"":0.02629656683710738},"
Grixis Delver,Junk,127,11.5,0.083032491,"{""source"": ""Grixis Delver"", ""target"": ""Junk"", ""value"":0.08303249097472924},","{""source"": ""Grixis Delver"", ""target"": ""Junk"", ""value"":0.006894394557468493},"
Grixis Delver,Lands,139.3571429,5.392857144,0.037256353,"{""source"": ""Grixis Delver"", ""target"": ""Lands"", ""value"":0.03725635332642487},","{""source"": ""Grixis Delver"", ""target"": ""Lands"", ""value"":0.0013880358631834097},"
Grixis Delver,Legacy Landstill,109.5,20.25,0.156069364,"{""source"": ""Grixis Delver"", ""target"": ""Legacy Landstill"", ""value"":0.15606936416184972},","{""source"": ""Grixis Delver"", ""target"": ""Legacy Landstill"", ""value"":0.02435764642988406},"
Grixis Delver,LOAM,139,5.666666667,0.039170507,"{""source"": ""Grixis Delver"", ""target"": ""LOAM"", ""value"":0.03917050691519782},","{""source"": ""Grixis Delver"", ""target"": ""LOAM"", ""value"":0.0015343286119935604},"
Grixis Delver,Maverick,138.8333333,5.583333333,0.038661281,"{""source"": ""Grixis Delver"", ""target"": ""Maverick"", ""value"":0.03866128101425338},","{""source"": ""Grixis Delver"", ""target"": ""Maverick"", ""value"":0.001494694649663069},"
Grixis Delver,Merfolk,125.5,12.25,0.08892922,"{""source"": ""Grixis Delver"", ""target"": ""Merfolk"", ""value"":0.08892921960072596},","{""source"": ""Grixis Delver"", ""target"": ""Merfolk"", ""value"":0.007908406098794143},"
Grixis Delver,MUD,143,3.5,0.023890785,"{""source"": ""Grixis Delver"", ""target"": ""MUD"", ""value"":0.023890784982935155},","{""source"": ""Grixis Delver"", ""target"": ""MUD"", ""value"":0.0005707696071008399},"
Grixis Delver,Nic Fit,142.8333333,3.583333333,0.024473534,"{""source"": ""Grixis Delver"", ""target"": ""Nic Fit"", ""value"":0.02447353443219723},","{""source"": ""Grixis Delver"", ""target"": ""Nic Fit"", ""value"":0.0005989538876039434},"
Grixis Delver,Painter,132.5,8.75,0.061946903,"{""source"": ""Grixis Delver"", ""target"": ""Painter"", ""value"":0.061946902654867256},","{""source"": ""Grixis Delver"", ""target"": ""Painter"", ""value"":0.0038374187485316},"
Grixis Delver,Pikula,127.5,11.25,0.081081081,"{""source"": ""Grixis Delver"", ""target"": ""Pikula"", ""value"":0.08108108108108109},","{""source"": ""Grixis Delver"", ""target"": ""Pikula"", ""value"":0.006574141709276845},"
Grixis Delver,Reanimator,135.6666667,7.25,0.050728863,"{""source"": ""Grixis Delver"", ""target"": ""Reanimator"", ""value"":0.05072886297364263},","{""source"": ""Grixis Delver"", ""target"": ""Reanimator"", ""value"":0.0025734175385986103},"
Grixis Delver,Slivers,141.5,4.25,0.02915952,"{""source"": ""Grixis Delver"", ""target"": ""Slivers"", ""value"":0.029159519725557463},","{""source"": ""Grixis Delver"", ""target"": ""Slivers"", ""value"":0.0008502775906251748},"
Grixis Delver,Sneak & Show,90.46153846,29.80769231,0.247841382,"{""source"": ""Grixis Delver"", ""target"": ""Sneak & Show"", ""value"":0.2478413815230569},","{""source"": ""Grixis Delver"", ""target"": ""Sneak & Show"", ""value"":0.06142535039525745},"
Grixis Delver,Stoneblade,83.1,33.45,0.287001287,"{""source"": ""Grixis Delver"", ""target"": ""Stoneblade"", ""value"":0.28700128700128685},","{""source"": ""Grixis Delver"", ""target"": ""Stoneblade"", ""value"":0.08236973874039502},"
Grixis Delver,Storm,106.5555556,21.72222222,0.169337375,"{""source"": ""Grixis Delver"", ""target"": ""Storm"", ""value"":0.16933737548915845},","{""source"": ""Grixis Delver"", ""target"": ""Storm"", ""value"":0.02867514673755624},"
Grixis Delver,UR Delver,39.2,55.4,0.585623679,"{""source"": ""Grixis Delver"", ""target"": ""UR Delver"", ""value"":0.5856236786469343},","{""source"": ""Grixis Delver"", ""target"": ""UR Delver"", ""value"":0.3429550929919678},"
Grixis Delver,UWx Control,96.4375,26.8125,0.217545639,"{""source"": ""Grixis Delver"", ""target"": ""UWx Control"", ""value"":0.21754563894523327},","{""source"": ""Grixis Delver"", ""target"": ""UWx Control"", ""value"":0.04732610502408979},"
Grixis Delver,Zombie Bombardment,133,8.5,0.060070671,"{""source"": ""Grixis Delver"", ""target"": ""Zombie Bombardment"", ""value"":0.06007067137809187},","{""source"": ""Grixis Delver"", ""target"": ""Zombie Bombardment"", ""value"":0.0036084855598147057},"
Humans,Infect,135.5,7.5,0.052447552,"{""source"": ""Humans"", ""target"": ""Infect"", ""value"":0.05244755244755245},","{""source"": ""Humans"", ""target"": ""Infect"", ""value"":0.0027507457577387647},"
Humans,Junk,130,10,0.071428571,"{""source"": ""Humans"", ""target"": ""Junk"", ""value"":0.07142857142857142},","{""source"": ""Humans"", ""target"": ""Junk"", ""value"":0.00510204081632653},"
Humans,Lands,139.8571429,5.142857143,0.03546798,"{""source"": ""Humans"", ""target"": ""Lands"", ""value"":0.03546798029630711},","{""source"": ""Humans"", ""target"": ""Lands"", ""value"":0.0012579776262992292},"
Humans,Legacy Landstill,142,4,0.02739726,"{""source"": ""Humans"", ""target"": ""Legacy Landstill"", ""value"":0.0273972602739726},","{""source"": ""Humans"", ""target"": ""Legacy Landstill"", ""value"":0.0007506098705197973},"
Humans,LOAM,133.6666667,8.333333333,0.058685446,"{""source"": ""Humans"", ""target"": ""LOAM"", ""value"":0.058685446007455545},","{""source"": ""Humans"", ""target"": ""LOAM"", ""value"":0.00344398157309398},"
Humans,Maverick,101.3333333,24.33333333,0.193633952,"{""source"": ""Humans"", ""target"": ""Maverick"", ""value"":0.19363395225763916},","{""source"": ""Humans"", ""target"": ""Maverick"", ""value"":0.03749410746691368},"
Humans,Merfolk,122,14,0.102941176,"{""source"": ""Humans"", ""target"": ""Merfolk"", ""value"":0.10294117647058823},","{""source"": ""Humans"", ""target"": ""Merfolk"", ""value"":0.010596885813148788},"
Humans,MUD,135,7.5,0.052631579,"{""source"": ""Humans"", ""target"": ""MUD"", ""value"":0.05263157894736842},","{""source"": ""Humans"", ""target"": ""MUD"", ""value"":0.0027700831024930744},"
Humans,Nic Fit,140,5,0.034482759,"{""source"": ""Humans"", ""target"": ""Nic Fit"", ""value"":0.034482758621878704},","{""source"": ""Humans"", ""target"": ""Nic Fit"", ""value"":0.00118906064217475},"
Humans,Painter,148,1,0.006711409,"{""source"": ""Humans"", ""target"": ""Painter"", ""value"":0.006711409395973154},","{""source"": ""Humans"", ""target"": ""Painter"", ""value"":4.504301608035674e-05},"
Humans,Pikula,131,9.5,0.067615658,"{""source"": ""Humans"", ""target"": ""Pikula"", ""value"":0.06761565836298933},","{""source"": ""Humans"", ""target"": ""Pikula"", ""value"":0.004571877255860488},"
Humans,Slivers,116,17,0.127819549,"{""source"": ""Humans"", ""target"": ""Slivers"", ""value"":0.12781954887218044},","{""source"": ""Humans"", ""target"": ""Slivers"", ""value"":0.016337837073887727},"
Humans,Stoneblade,138.4,5.8,0.040221914,"{""source"": ""Humans"", ""target"": ""Stoneblade"", ""value"":0.04022191400832179},","{""source"": ""Humans"", ""target"": ""Stoneblade"", ""value"":0.0016178023664928328},"
Humans,UR Delver,137.4,6.3,0.043841336,"{""source"": ""Humans"", ""target"": ""UR Delver"", ""value"":0.043841336116910226},","{""source"": ""Humans"", ""target"": ""UR Delver"", ""value"":0.001922062752515897},"
Humans,UWx Control,142.8125,3.625,0.024754588,"{""source"": ""Humans"", ""target"": ""UWx Control"", ""value"":0.024754588134869825},","{""source"": ""Humans"", ""target"": ""UWx Control"", ""value"":0.0006127896337270379},"
Humans,Zombie Bombardment,142,4,0.02739726,"{""source"": ""Humans"", ""target"": ""Zombie Bombardment"", ""value"":0.0273972602739726},","{""source"": ""Humans"", ""target"": ""Zombie Bombardment"", ""value"":0.0007506098705197973},"
Infect,Junk,121.5,14.5,0.106617647,"{""source"": ""Infect"", ""target"": ""Junk"", ""value"":0.10661764705882353},","{""source"": ""Infect"", ""target"": ""Junk"", ""value"":0.011367322664359861},"
Infect,Lands,137.2142857,6.714285715,0.046650124,"{""source"": ""Infect"", ""target"": ""Lands"", ""value"":0.04665012407430277},","{""source"": ""Infect"", ""target"": ""Lands"", ""value"":0.0021762340761478432},"
Infect,Legacy Landstill,119.5,15.5,0.114814815,"{""source"": ""Infect"", ""target"": ""Legacy Landstill"", ""value"":0.11481481481481481},","{""source"": ""Infect"", ""target"": ""Legacy Landstill"", ""value"":0.01318244170096022},"
Infect,LOAM,126.8333333,12,0.086434574,"{""source"": ""Infect"", ""target"": ""LOAM"", ""value"":0.08643457383036192},","{""source"": ""Infect"", ""target"": ""LOAM"", ""value"":0.0074709355532362855},"
Infect,Maverick,118.8333333,15.83333333,0.117574257,"{""source"": ""Infect"", ""target"": ""Maverick"", ""value"":0.1175742574181698},","{""source"": ""Infect"", ""target"": ""Maverick"", ""value"":0.013823706007434058},"
Infect,Merfolk,136.5,7,0.048780488,"{""source"": ""Infect"", ""target"": ""Merfolk"", ""value"":0.04878048780487805},","{""source"": ""Infect"", ""target"": ""Merfolk"", ""value"":0.002379535990481856},"
Infect,Nic Fit,121.1666667,14.66666667,0.10797546,"{""source"": ""Infect"", ""target"": ""Nic Fit"", ""value"":0.107975460121236},","{""source"": ""Infect"", ""target"": ""Nic Fit"", ""value"":0.011658699988392626},"
Infect,Painter,141.5,4.5,0.030821918,"{""source"": ""Infect"", ""target"": ""Painter"", ""value"":0.030821917808219176},","{""source"": ""Infect"", ""target"": ""Painter"", ""value"":0.0009499906173766184},"
Infect,Pikula,132.5,9,0.06360424,"{""source"": ""Infect"", ""target"": ""Pikula"", ""value"":0.0636042402826855},","{""source"": ""Infect"", ""target"": ""Pikula"", ""value"":0.004045499381937594},"
Infect,Reanimator,142.6666667,4,0.027272727,"{""source"": ""Infect"", ""target"": ""Reanimator"", ""value"":0.027272727272665297},","{""source"": ""Infect"", ""target"": ""Reanimator"", ""value"":0.0007438016528891815},"
Infect,Slivers,144.5,3,0.020338983,"{""source"": ""Infect"", ""target"": ""Slivers"", ""value"":0.020338983050847456},","{""source"": ""Infect"", ""target"": ""Slivers"", ""value"":0.0004136742315426601},"
Infect,Sneak & Show,122.8076923,13.88461539,0.101575689,"{""source"": ""Infect"", ""target"": ""Sneak & Show"", ""value"":0.10157568936490982},","{""source"": ""Infect"", ""target"": ""Sneak & Show"", ""value"":0.010317620669956654},"
Infect,Stoneblade,110.9,19.8,0.151491966,"{""source"": ""Infect"", ""target"": ""Stoneblade"", ""value"":0.15149196633511866},","{""source"": ""Infect"", ""target"": ""Stoneblade"", ""value"":0.022949815864080726},"
Infect,Storm,119.8333333,15.33333333,0.113440197,"{""source"": ""Infect"", ""target"": ""Storm"", ""value"":0.11344019728707158},","{""source"": ""Infect"", ""target"": ""Storm"", ""value"":0.012868678360529722},"
Infect,UR Delver,116.9,16.8,0.12565445,"{""source"": ""Infect"", ""target"": ""UR Delver"", ""value"":0.1256544502617801},","{""source"": ""Infect"", ""target"": ""UR Delver"", ""value"":0.01578904087059017},"
Infect,UWx Control,117.0625,16.75,0.125175152,"{""source"": ""Infect"", ""target"": ""UWx Control"", ""value"":0.12517515179822514},","{""source"": ""Infect"", ""target"": ""UWx Control"", ""value"":0.015668818627708705},"
Infect,Zombie Bombardment,134.5,8,0.056140351,"{""source"": ""Infect"", ""target"": ""Zombie Bombardment"", ""value"":0.056140350877192984},","{""source"": ""Infect"", ""target"": ""Zombie Bombardment"", ""value"":0.003151738996614343},"
Junk,Lands,125.8571429,12.14285714,0.087991718,"{""source"": ""Junk"", ""target"": ""Lands"", ""value"":0.08799171843478261},","{""source"": ""Junk"", ""target"": ""Lands"", ""value"":0.007742542513106062},"
Junk,Legacy Landstill,132,9,0.063829787,"{""source"": ""Junk"", ""target"": ""Legacy Landstill"", ""value"":0.06382978723404255},","{""source"": ""Junk"", ""target"": ""Legacy Landstill"", ""value"":0.004074241738343141},"
Junk,LOAM,86.33333333,32,0.270422535,"{""source"": ""Junk"", ""target"": ""LOAM"", ""value"":0.27042253521431464},","{""source"": ""Junk"", ""target"": ""LOAM"", ""value"":0.07312834755173724},"
Junk,Maverick,88.66666666,30.66666667,0.25698324,"{""source"": ""Junk"", ""target"": ""Maverick"", ""value"":0.2569832402250554},","{""source"": ""Junk"", ""target"": ""Maverick"", ""value"":0.06604038575656854},"
Junk,Merfolk,142,4,0.02739726,"{""source"": ""Junk"", ""target"": ""Merfolk"", ""value"":0.0273972602739726},","{""source"": ""Junk"", ""target"": ""Merfolk"", ""value"":0.0007506098705197973},"
Junk,MUD,143,3.5,0.023890785,"{""source"": ""Junk"", ""target"": ""MUD"", ""value"":0.023890784982935155},","{""source"": ""Junk"", ""target"": ""MUD"", ""value"":0.0005707696071008399},"
Junk,Nic Fit,108.6666667,20.66666667,0.159793814,"{""source"": ""Junk"", ""target"": ""Nic Fit"", ""value"":0.15979381444215648},","{""source"": ""Junk"", ""target"": ""Nic Fit"", ""value"":0.025534063133974338},"
Junk,Painter,148,1,0.006711409,"{""source"": ""Junk"", ""target"": ""Painter"", ""value"":0.006711409395973154},","{""source"": ""Junk"", ""target"": ""Painter"", ""value"":4.504301608035674e-05},"
Junk,Pikula,70,40,0.363636364,"{""source"": ""Junk"", ""target"": ""Pikula"", ""value"":0.36363636363636365},","{""source"": ""Junk"", ""target"": ""Pikula"", ""value"":0.1322314049586777},"
Junk,Reanimator,135.8333333,7.166666667,0.05011655,"{""source"": ""Junk"", ""target"": ""Reanimator"", ""value"":0.05011655011888112},","{""source"": ""Junk"", ""target"": ""Reanimator"", ""value"":0.0025116685958183234},"
Junk,Slivers,148,1,0.006711409,"{""source"": ""Junk"", ""target"": ""Slivers"", ""value"":0.006711409395973154},","{""source"": ""Junk"", ""target"": ""Slivers"", ""value"":4.504301608035674e-05},"
Junk,Sneak & Show,147,1.538461539,0.010357328,"{""source"": ""Junk"", ""target"": ""Sneak & Show"", ""value"":0.010357327812873227},","{""source"": ""Junk"", ""target"": ""Sneak & Show"", ""value"":0.00010727423942331729},"
Junk,Stoneblade,111.6,19.2,0.146788991,"{""source"": ""Junk"", ""target"": ""Stoneblade"", ""value"":0.14678899082568808},","{""source"": ""Junk"", ""target"": ""Stoneblade"", ""value"":0.021547007827623938},"
Junk,Storm,133.7777778,8.111111111,0.057165231,"{""source"": ""Junk"", ""target"": ""Storm"", ""value"":0.05716523101056091},","{""source"": ""Junk"", ""target"": ""Storm"", ""value"":0.0032678636364907947},"
Junk,UR Delver,138,6,0.041666667,"{""source"": ""Junk"", ""target"": ""UR Delver"", ""value"":0.04166666666666666},","{""source"": ""Junk"", ""target"": ""UR Delver"", ""value"":0.0017361111111111104},"
Junk,UWx Control,130.8125,9.625,0.068535826,"{""source"": ""Junk"", ""target"": ""UWx Control"", ""value"":0.06853582554517133},","{""source"": ""Junk"", ""target"": ""UWx Control"", ""value"":0.004697159383158159},"
Junk,Zombie Bombardment,112,19,0.145038168,"{""source"": ""Junk"", ""target"": ""Zombie Bombardment"", ""value"":0.1450381679389313},","{""source"": ""Junk"", ""target"": ""Zombie Bombardment"", ""value"":0.021036070159081637},"
Lands,Legacy Landstill,148.1428571,1,0.006704981,"{""source"": ""Lands"", ""target"": ""Legacy Landstill"", ""value"":0.006704980842860497},","{""source"": ""Lands"", ""target"": ""Legacy Landstill"", ""value"":4.495676810312626e-05},"
Lands,LOAM,102.6666667,23.90476191,0.188863807,"{""source"": ""Lands"", ""target"": ""LOAM"", ""value"":0.18886380737648592},","{""source"": ""Lands"", ""target"": ""LOAM"", ""value"":0.03566953773674238},"
Lands,Maverick,120.7142857,14.71428571,0.108649789,"{""source"": ""Lands"", ""target"": ""Maverick"", ""value"":0.10864978901311667},","{""source"": ""Lands"", ""target"": ""Maverick"", ""value"":0.011804776652594768},"
Lands,Merfolk,146.5714286,1.785714286,0.012036591,"{""source"": ""Lands"", ""target"": ""Merfolk"", ""value"":0.01203659123921789},","{""source"": ""Lands"", ""target"": ""Merfolk"", ""value"":0.00014487952866001685},"
Lands,MUD,141.1428571,4.5,0.030897499,"{""source"": ""Lands"", ""target"": ""MUD"", ""value"":0.03089749877366632},","{""source"": ""Lands"", ""target"": ""MUD"", ""value"":0.0009546554304687118},"
Lands,Nic Fit,135.9523809,7.095238095,0.049600533,"{""source"": ""Lands"", ""target"": ""Nic Fit"", ""value"":0.04960053262275953},","{""source"": ""Lands"", ""target"": ""Nic Fit"", ""value"":0.002460212836461432},"
Lands,Pikula,137.7142857,6.214285715,0.043176179,"{""source"": ""Lands"", ""target"": ""Pikula"", ""value"":0.04317617866488384},","{""source"": ""Lands"", ""target"": ""Pikula"", ""value"":0.0018641824041019702},"
Lands,Reanimator,144.2619048,3.023809526,0.02053023,"{""source"": ""Lands"", ""target"": ""Reanimator"", ""value"":0.020530229565569987},","{""source"": ""Lands"", ""target"": ""Reanimator"", ""value"":0.000421490326015004},"
Lands,Slivers,147.8571429,1.142857143,0.007670182,"{""source"": ""Lands"", ""target"": ""Slivers"", ""value"":0.007670182167733757},","{""source"": ""Lands"", ""target"": ""Slivers"", ""value"":5.883169448622091e-05},"
Lands,Sneak & Show,147.7802198,1.21978022,0.008186444,"{""source"": ""Lands"", ""target"": ""Sneak & Show"", ""value"":0.008186444429310427},","{""source"": ""Lands"", ""target"": ""Sneak & Show"", ""value"":6.701787239418772e-05},"
Lands,Stoneblade,142.8857143,3.628571429,0.024765991,"{""source"": ""Lands"", ""target"": ""Stoneblade"", ""value"":0.02476599064242997},","{""source"": ""Lands"", ""target"": ""Stoneblade"", ""value"":0.0006133542925009287},"
Lands,Storm,147.8571429,1.142857144,0.007670182,"{""source"": ""Lands"", ""target"": ""Storm"", ""value"":0.007670182174651077},","{""source"": ""Lands"", ""target"": ""Storm"", ""value"":5.883169459233512e-05},"
Lands,UR Delver,140.8857143,4.628571429,0.031808364,"{""source"": ""Lands"", ""target"": ""UR Delver"", ""value"":0.03180836442454442},","{""source"": ""Lands"", ""target"": ""UR Delver"", ""value"":0.001011772047364623},"
Lands,UWx Control,147.6517857,1.276785715,0.008573141,"{""source"": ""Lands"", ""target"": ""UWx Control"", ""value"":0.008573141491582042},","{""source"": ""Lands"", ""target"": ""UWx Control"", ""value"":7.349875503468555e-05},"
Lands,Zombie Bombardment,148.1428571,1.000000001,0.006704981,"{""source"": ""Lands"", ""target"": ""Zombie Bombardment"", ""value"":0.006704980849610436},","{""source"": ""Lands"", ""target"": ""Zombie Bombardment"", ""value"":4.4956768193642684e-05},"
Legacy Landstill,LOAM,145,2.666666667,0.018058691,"{""source"": ""Legacy Landstill"", ""target"": ""LOAM"", ""value"":0.018058690747382148},","{""source"": ""Legacy Landstill"", ""target"": ""LOAM"", ""value"":0.0003261163115095856},"
Legacy Landstill,Maverick,130,9.999999999,0.071428571,"{""source"": ""Legacy Landstill"", ""target"": ""Maverick"", ""value"":0.07142857142295918},","{""source"": ""Legacy Landstill"", ""target"": ""Maverick"", ""value"":0.005102040815524781},"
Legacy Landstill,Merfolk,123,13.5,0.098901099,"{""source"": ""Legacy Landstill"", ""target"": ""Merfolk"", ""value"":0.0989010989010989},","{""source"": ""Legacy Landstill"", ""target"": ""Merfolk"", ""value"":0.009781427363844946},"
Legacy Landstill,Nic Fit,144,3,0.020408163,"{""source"": ""Legacy Landstill"", ""target"": ""Nic Fit"", ""value"":0.020408163266000267},","{""source"": ""Legacy Landstill"", ""target"": ""Nic Fit"", ""value"":0.0004164931278917227},"
Legacy Landstill,Painter,128,11,0.079136691,"{""source"": ""Legacy Landstill"", ""target"": ""Painter"", ""value"":0.07913669064748201},","{""source"": ""Legacy Landstill"", ""target"": ""Painter"", ""value"":0.006262615806635266},"
Legacy Landstill,Pikula,128,11,0.079136691,"{""source"": ""Legacy Landstill"", ""target"": ""Pikula"", ""value"":0.07913669064748201},","{""source"": ""Legacy Landstill"", ""target"": ""Pikula"", ""value"":0.006262615806635266},"
Legacy Landstill,Slivers,140,5,0.034482759,"{""source"": ""Legacy Landstill"", ""target"": ""Slivers"", ""value"":0.034482758620689655},","{""source"": ""Legacy Landstill"", ""target"": ""Slivers"", ""value"":0.0011890606420927466},"
Legacy Landstill,Sneak & Show,103.4615385,23.30769231,0.183859223,"{""source"": ""Legacy Landstill"", ""target"": ""Sneak & Show"", ""value"":0.18385922329938165},","{""source"": ""Legacy Landstill"", ""target"": ""Sneak & Show"", ""value"":0.033804213992251884},"
Legacy Landstill,Stoneblade,58,46,0.442307692,"{""source"": ""Legacy Landstill"", ""target"": ""Stoneblade"", ""value"":0.4423076923076926},","{""source"": ""Legacy Landstill"", ""target"": ""Stoneblade"", ""value"":0.1956360946745565},"
Legacy Landstill,Storm,126.6666667,11.66666667,0.084337349,"{""source"": ""Legacy Landstill"", ""target"": ""Storm"", ""value"":0.08433734940203219},","{""source"": ""Legacy Landstill"", ""target"": ""Storm"", ""value"":0.00711278850416046},"
Legacy Landstill,UR Delver,103,23.5,0.185770751,"{""source"": ""Legacy Landstill"", ""target"": ""UR Delver"", ""value"":0.18577075098814225},","{""source"": ""Legacy Landstill"", ""target"": ""UR Delver"", ""value"":0.03451077192269835},"
Legacy Landstill,UWx Control,47.9375,51.0625,0.515782828,"{""source"": ""Legacy Landstill"", ""target"": ""UWx Control"", ""value"":0.5157828282828283},","{""source"": ""Legacy Landstill"", ""target"": ""UWx Control"", ""value"":0.26603192595143355},"
Legacy Landstill,Zombie Bombardment,146,2,0.013513514,"{""source"": ""Legacy Landstill"", ""target"": ""Zombie Bombardment"", ""value"":0.013513513513513514},","{""source"": ""Legacy Landstill"", ""target"": ""Zombie Bombardment"", ""value"":0.00018261504747991238},"
LOAM,Maverick,101.6666667,24.33333333,0.193121693,"{""source"": ""LOAM"", ""target"": ""Maverick"", ""value"":0.19312169311724198},","{""source"": ""LOAM"", ""target"": ""Maverick"", ""value"":0.03729598835247019},"
LOAM,Merfolk,139.3333333,5.5,0.037974684,"{""source"": ""LOAM"", ""target"": ""Merfolk"", ""value"":0.037974683544653394},","{""source"": ""LOAM"", ""target"": ""Merfolk"", ""value"":0.0014420765903165693},"
LOAM,MUD,135.3333333,7.5,0.052508751,"{""source"": ""LOAM"", ""target"": ""MUD"", ""value"":0.0525087514590666},","{""source"": ""LOAM"", ""target"": ""MUD"", ""value"":0.0027571689797900286},"
LOAM,Nic Fit,105,22.66666667,0.177545692,"{""source"": ""LOAM"", ""target"": ""Nic Fit"", ""value"":0.1775456919086639},","{""source"": ""LOAM"", ""target"": ""Nic Fit"", ""value"":0.031522472715326204},"
LOAM,Pikula,106,22.16666667,0.172951886,"{""source"": ""LOAM"", ""target"": ""Pikula"", ""value"":0.17295188556136779},","{""source"": ""LOAM"", ""target"": ""Pikula"", ""value"":0.029912354719232457},"
LOAM,Reanimator,139.5,5.5,0.037931034,"{""source"": ""LOAM"", ""target"": ""Reanimator"", ""value"":0.03793103448302022},","{""source"": ""LOAM"", ""target"": ""Reanimator"", ""value"":0.0014387633769520692},"
LOAM,Slivers,133,8.666666667,0.061176471,"{""source"": ""LOAM"", ""target"": ""Slivers"", ""value"":0.06117647059130795},","{""source"": ""LOAM"", ""target"": ""Slivers"", ""value"":0.0037425605540091665},"
LOAM,Stoneblade,139.6,5.366666667,0.037020005,"{""source"": ""LOAM"", ""target"": ""Stoneblade"", ""value"":0.03702000460148333},","{""source"": ""LOAM"", ""target"": ""Stoneblade"", ""value"":0.001370480740693847},"
LOAM,Storm,142.5555556,3.888888888,0.026555387,"{""source"": ""LOAM"", ""target"": ""Storm"", ""value"":0.026555386944478915},","{""source"": ""LOAM"", ""target"": ""Storm"", ""value"":0.0007051885757710012},"
LOAM,UR Delver,142.1333333,4.1,0.028037383,"{""source"": ""LOAM"", ""target"": ""UR Delver"", ""value"":0.028037383177825725},","{""source"": ""LOAM"", ""target"": ""UR Delver"", ""value"":0.000786094855460225},"
LOAM,UWx Control,145.3125,2.541666667,0.017190362,"{""source"": ""LOAM"", ""target"": ""UWx Control"", ""value"":0.017190362127289728},","{""source"": ""LOAM"", ""target"": ""UWx Control"", ""value"":0.00029550855006735705},"
LOAM,Zombie Bombardment,126.3333333,12,0.086746988,"{""source"": ""LOAM"", ""target"": ""Zombie Bombardment"", ""value"":0.08674698795264336},","{""source"": ""LOAM"", ""target"": ""Zombie Bombardment"", ""value"":0.007525039918856053},"
Maverick,Merfolk,141.6666667,4.166666666,0.028571429,"{""source"": ""Maverick"", ""target"": ""Merfolk"", ""value"":0.028571428567510198},","{""source"": ""Maverick"", ""target"": ""Merfolk"", ""value"":0.0008163265303883379},"
Maverick,MUD,142.3333333,3.833333333,0.02622577,"{""source"": ""Maverick"", ""target"": ""MUD"", ""value"":0.026225769667704645},","{""source"": ""Maverick"", ""target"": ""MUD"", ""value"":0.0006877909946634969},"
Maverick,Nic Fit,122,14,0.102941176,"{""source"": ""Maverick"", ""target"": ""Nic Fit"", ""value"":0.1029411764611808},","{""source"": ""Maverick"", ""target"": ""Nic Fit"", ""value"":0.010596885811211964},"
